"0032";"0001";"53";"6";"Menu: Settings > Personalize > Color Styles (upload spcolor.sch to /a/mobile/system/)";"ON";"Off"
"0032";"0001";"54";"2";"Menu: Mobile QQ (may require update to mma files)";"ON";"Off"
"0032";"0001";"54";"5";"Menu: SMS Delete Confirmation Message Y/N";"ON";"Off"
"0032";"0001";"54";"6";"SMS Message Inbox > Delete or Reply for Right Soft Key";"Reply";"Delete"
"0032";"0001";"54";"7";"Menu: Settings > Network (BLCK ADV NTWRK STGS, My Network List, etc)";"Blocked";"Unblock"
"0032";"0001";"55";"0";"Menu: Network Band";"ON";"Off"
"0032";"0001";"55";"2";"Date and Time Autoupdate (Activates Feature, See Offset 00 Bit 0 for Menu Activation)";"ON";"Off"
"0032";"0001";"58";"4";"Menu: Office Tools > Shortcuts (List Web Shortcuts Also)";"Don't List";"List"
"0032";"0001";"58";"6";"Menu: Phonebook > Menu > Copy > All to SIM/Phone Memory";"ON";"Off"
"0032";"0001";"5A";"6";"Menu: Webaccess > Stored Pages";"ON";"Off"
"0032";"0001";"5B";"0";"Menu: Webaccess > Web Shortcuts";"ON";"Off"
"0032";"0001";"5B";"2";"Menu: Webaccess > Browser History 1";"ON";"Off"
"0032";"0001";"5B";"3";"Menu: Webaccess > Browser History 2";"ON";"Off"
"0032";"0001";"5C";"0";"Menu: Webaccess > Go to URL-1";"ON";"Off"
"0032";"0001";"5C";"1";"Menu: Webaccess > Go to URL-2";"ON";"Off"
"0032";"0001";"5C";"2";"Menu: Webaccess > Go to URL-3";"ON";"Off"
"0032";"0001";"5C";"7";"Menu: Browser Messages > Brwsr Message Setup > Msg Notification > Medium Priority";"Off";"ON"
"0032";"0001";"5D";"1";"Menu: Settings > Ring Styles > Silent Detail";"ON";"Off"
"0032";"0001";"5F";"1";"Menu: Message Setup > MMS Message Setup > Server Info, Activate / New, Edit, Delete";"ON";"Off"
"0032";"0001";"5F";"6";"Menu: Webaccess > Web Sessions > Menu > Set Default";"Off";"ON"
"0032";"0001";"60";"0";"GPRS Active - Text on Line 3";"ON";"Off"
"0032";"0001";"60";"1";"Menu: Java DNS-IP - Show";"ON";"Off"
"0032";"0001";"60";"2";"Menu: Java DNS-IP - Edit";"ON";"Off"
"0032";"0001";"61";"1";"Storage Devices (E398)";"ON";"Off"
"0032";"0001";"62";"3";"Menu: Connection > Sync";"ON";"Off"
"0032";"0001";"62";"4";"Menu: Messages > Menu > Message Setup > Use GPRS";"ON";"Off"
"0032";"0001";"63";"2";"Menu: Settings > Ring Styles > Ring Lights";"ON";"Off"
"0032";"0001";"63";"6";"Block phone numbers absent in phonebook";"ON";"Off"
"0032";"0001";"65";"0";"Menu: Ring Styles > Event Lights";"ON";"Off"
"0032";"0001";"65";"1";"Menu: Office Tools > IM (may require update to mma files)";"ON";"Off"
"0032";"0001";"65";"4";"Menu: WebAccess/Internet";"ON";"Off"
"0032";"0001";"67";"4";"Display Call Divert Icon On Line 1 and Status On Line 3 (MUST Be ON if 02 Bit 4 is ON)";"ON";"Off"
"0032";"0001";"67";"6";"Display Thumbnails in Multimedia > Pictures";"ON";"Off"
"0032";"0001";"68";"0";"Menu: Settings > Initial Setup > Vibe Sync";"ON";"Off"
"0032";"0001";"68";"6";"Menu: Message > Create Message > New Letter";"ON";"Off"
"0032";"0001";"6B";"4";"Default Cursor Position in Main Menu";"Center";"Top-Left"
"0032";"0001";"6B";"7";"Menu: Message > MMS Templates";"ON";"Off"
"0032";"0001";"6C";"1";"Display URL Page Name In Browser (Inserts Extra Line At Top of Browser)";"ON";"Off"
"0032";"0001";"6C";"3";"Menu: Personalize > Home Screen > Home Keys (Limited), Layout (Locked)";"Lock";"Unlock"
"0032";"0001";"6E";"4";"Menu: Multimedia > Video";"ON";"Off"
"0032";"0001";"6F";"4";"Menu: Multimedia > Sounds/Video > Menu > Sounds/Video Setup > Timer";"ON";"Off"
"0032";"0001";"6F";"5";"Menu: Multimedia > Pictures > Menu > Pictures Setup > Counter";"ON";"Off"
"0032";"0001";"6F";"7";"Menu: Multimedia > Video > Menu > Videos Setup > Video Quality";"ON";"Off"
"0032";"0001";"70";"3";"Menu: Pictures Setup > Mirror (get picture capture failure!)";"ON";"Off"
"0032";"0001";"70";"4";"Menu: Multimedia > Pictures > Menu > Pictures Setup > Status Icons";"ON";"Off"
"0032";"0001";"71";"4";"Menu: Settings > Java Settings > Switching to Debug option";"ON";"Off"
"0032";"0001";"71";"7";"Menu: Java settings > Start TCK";"ON";"Off"
"0032";"0001";"72";"1";"Menu: Settings > Java Settings > App Priority, Set Standby App, App Backlight/Blink";"ON";"Off"
"0032";"0001";"72";"7";"Names for Messages (SMS/MMS or Text/Multimedia)**FLEX Dependent**";"Stand";"Altern"
"0032";"0001";"73";"1";"Menu: Camera > Store Options > Send to My Album (**OPERATOR / FLEX Dependent**)";"ON";"Off"
"0032";"0001";"74";"4";"Current Registered Provider Name Alpha Tag On Line 2 (Offset 4b Bit 6 MUST = 1)";"Blank";"Display"
"0032";"0001";"75";"4";"Menu: Settings > Call Divert/Forward > Detailed option";"ON";"Off"
"0032";"0001";"75";"5";"Menu: Settings > Initial Setup > Display Timeout > 5 and 10 minutes";"Off";"ON"
"0032";"0001";"78";"3";"Menu: Multimedia > Pictures > Menu > Send as TIM Click (language pack dependent)";"ON";"Off"
"0032";"0001";"79";"4";"Menu: Multimedia > Pictures > Pictures Setup > Flashlight (E398)";"ON";"Off"
"0032";"0001";"79";"6";"Menu: Message > New Message > SMS Subject";"ON";"Off"
"0032";"0001";"7A";"4";"Ringtone: Vibe and Ring (E398/V551/E550/V550)";"ON";"Off"
